,index,CIK,Date first added,Founded,GICS Sub Industry,GICS Sector,Headquarters Location,SEC filings,Security
150,EFX,33185,6/19/1997,0,Research & Consulting Services,Industrials,"Atlanta, Georgia",reports,Equifax Inc.
151,EQIX,1101239,3/20/2015,0,Specialized REITs,Real Estate,"Redwood City, California",reports,Equinix
152,EQR,906107,12/3/2001,0,Residential REITs,Real Estate,"Chicago, Illinois",reports,Equity Residential
153,ESS,920522,4/2/2014,0,Residential REITs,Real Estate,"Palo Alto, California",reports,"Essex Property Trust, Inc."
154,EL,1001250,1/5/2006,0,Personal Products,Consumer Staples,"New York, New York",reports,Estee Lauder Cos.
155,ES,72741,0,1966,Multi-Utilities,Utilities,"Springfield, Massachusetts",reports,Eversource Energy
156,RE,1095073,6/19/2017,0,Reinsurance,Financials,"Hamilton, Bermuda",reports,Everest Re Group Ltd.
157,EXC,1109357,0,2000,Multi-Utilities,Utilities,"Chicago, Illinois",reports,Exelon Corp.
158,EXPE,1324424,10/2/2007,0,Internet & Direct Marketing Retail,Consumer Discretionary,"Bellevue, Washington",reports,Expedia Group
159,EXPD,746515,10/10/2007,0,Air Freight & Logistics,Industrials,"Seattle, Washington",reports,Expeditors
160,EXR,1289490,1/19/2016,0,Specialized REITs,Real Estate,"Salt Lake City, Utah",reports,Extra Space Storage
161,XOM,34088,0,1999,Integrated Oil & Gas,Energy,"Irving, Texas",reports,Exxon Mobil Corp.
162,FFIV,1048695,12/20/2010,1996,Communications Equipment,Information Technology,"Seattle, Washington",reports,F5 Networks
163,FB,1326801,12/23/2013,0,Interactive Media & Services,Communication Services,"Menlo Park, California",reports,"Facebook, Inc."
164,FAST,815556,9/15/2009,0,Building Products,Industrials,"Winona, Minnesota",reports,Fastenal Co
165,FRT,34903,2/1/2016,0,Retail REITs,Real Estate,"Rockville, Maryland",reports,Federal Realty Investment Trust
166,FDX,1048911,12/31/1980,0,Air Freight & Logistics,Industrials,"Memphis, Tennessee",reports,FedEx Corporation
167,FIS,1136893,11/10/2006,0,Data Processing & Outsourced Services,Information Technology,"Jacksonville, Florida",reports,Fidelity National Information Services
168,FITB,35527,0,1858,Regional Banks,Financials,"Cincinnati, Ohio",reports,Fifth Third Bancorp
169,FE,1031296,0,1997,Electric Utilities,Utilities,"Akron, Ohio",reports,FirstEnergy Corp
170,FISV,798354,4/2/2001,0,Data Processing & Outsourced Services,Information Technology,"Brookfield, Wisconsin",reports,Fiserv Inc
171,FLIR,354908,1/2/2009,0,Electronic Equipment & Instruments,Information Technology,"Wilsonville, Oregon",reports,FLIR Systems
172,FLS,30625,10/2/2008,0,Industrial Machinery,Industrials,"Irving, Texas",reports,Flowserve Corporation
173,FMC,37785,8/19/2009,0,Fertilizers & Agricultural Chemicals,Materials,"Philadelphia, Pennsylvania",reports,FMC Corporation
174,F,37996,0,1903,Automobile Manufacturers,Consumer Discretionary,"Dearborn, Michigan",reports,Ford Motor
175,FTV,1659166,7/1/2016,2016,Industrial Machinery,Industrials,"Everett, Washington",reports,Fortive Corp
176,FBHS,1519751,6/22/2016,0,Building Products,Industrials,"Deerfield, Illinois",reports,Fortune Brands Home & Security
177,BEN,38777,0,1947,Asset Management & Custody Banks,Financials,"San Mateo, California",reports,Franklin Resources
178,FCX,831259,0,1912,Copper,Materials,"Phoenix, Arizona",reports,Freeport-McMoRan Inc.
179,GPS,39911,8/31/1986,0,Apparel Retail,Consumer Discretionary,"San Francisco, California",reports,Gap Inc.
180,GRMN,1121788,12/12/2012,0,Consumer Electronics,Consumer Discretionary,"Schaffhausen, Switzerland",reports,Garmin Ltd.
181,IT,749251,4/5/2017,0,IT Consulting & Other Services,Information Technology,"Stamford, Connecticut",reports,Gartner Inc
182,GD,40533,0,1899,Aerospace & Defense,Industrials,"Falls Church, Virginia",reports,General Dynamics
183,GE,40545,0,1892,Industrial Conglomerates,Industrials,"Boston, Massachusetts",reports,General Electric
184,GIS,40704,3/31/1969,1856,Packaged Foods & Meats,Consumer Staples,"Golden Valley, Minnesota",reports,General Mills
185,GM,1467858,6/6/2013,0,Automobile Manufacturers,Consumer Discretionary,"Detroit, Michigan",reports,General Motors
186,GPC,40987,12/31/1973,1925,Specialty Stores,Consumer Discretionary,"Atlanta, Georgia",reports,Genuine Parts
187,GILD,882095,7/1/2004,0,Biotechnology,Health Care,"Foster City, California",reports,Gilead Sciences
188,GPN,1123360,4/25/2016,0,Data Processing & Outsourced Services,Information Technology,"Atlanta, Georgia",reports,Global Payments Inc.
189,GS,886982,7/22/2002,0,Investment Banking & Brokerage,Financials,"New York, New York",reports,Goldman Sachs Group
190,GWW,277135,6/30/1981,0,Industrial Machinery,Industrials,"Lake Forest, Illinois",reports,Grainger (W.W.) Inc.
191,HAL,45012,0,1919,Oil & Gas Equipment & Services,Energy,"Houston, Texas",reports,Halliburton Co.
192,HBI,1359841,3/20/2015,2000,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,"Winston-Salem, North Carolina",reports,Hanesbrands Inc
193,HOG,793952,0,1903,Motorcycle Manufacturers,Consumer Discretionary,"Milwaukee, Wisconsin",reports,Harley-Davidson
194,HIG,874766,0,0,Property & Casualty Insurance,Financials,"Hartford, Connecticut",reports,Hartford Financial Svc.Gp.
195,HAS,46080,9/30/1984,0,Leisure Products,Consumer Discretionary,"Pawtucket, Rhode Island",reports,Hasbro Inc.
196,HCA,860730,1/27/2015,0,Health Care Facilities,Health Care,"Nashville, Tennessee",reports,HCA Healthcare
197,HP,46765,3/1/2010,0,Oil & Gas Drilling,Energy,"Tulsa, Oklahoma[5]",reports,Helmerich & Payne
198,HSIC,1000228,3/17/2015,0,Health Care Distributors,Health Care,"Melville, New York",reports,Henry Schein
199,HSY,47111,0,1894,Packaged Foods & Meats,Consumer Staples,"Hershey, Pennsylvania",reports,The Hershey Company
200,HES,4447,5/31/1984,0,Integrated Oil & Gas,Energy,"New York, New York",reports,Hess Corporation
201,HPE,1645590,11/2/2015,2015,"Technology Hardware, Storage & Peripherals",Information Technology,"Palo Alto, California",reports,Hewlett Packard Enterprise
202,HLT,1585689,6/19/2017,0,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,"Tysons Corner, Virginia",reports,Hilton Worldwide Holdings Inc
203,HOLX,859737,3/30/2016,0,Health Care Equipment,Health Care,"Marlborough, Massachusetts",reports,Hologic
204,HD,354950,3/31/1988,0,Home Improvement Retail,Consumer Discretionary,"Atlanta, Georgia",reports,Home Depot
205,HON,773840,3/31/1964,1906,Industrial Conglomerates,Industrials,"Morristown, New Jersey",reports,Honeywell Int'l Inc.
206,HRL,48465,3/4/2009,0,Packaged Foods & Meats,Consumer Staples,"Austin, Minnesota",reports,Hormel Foods Corp.
207,HST,1070750,3/20/2007,0,Hotel & Resort REITs,Real Estate,"Bethesda, Maryland",reports,Host Hotels & Resorts
208,HPQ,47217,12/31/1974,1939 (2015),"Technology Hardware, Storage & Peripherals",Information Technology,"Palo Alto, California",reports,HP Inc.
209,HUM,49071,0,1961,Managed Health Care,Health Care,"Louisville, Kentucky",reports,Humana Inc.
210,HBAN,49196,0,1866,Regional Banks,Financials,"Columbus, Ohio",reports,Huntington Bancshares
211,IDXX,874716,1/5/2017,0,Health Care Equipment,Health Care,"Westbrook, Maine",reports,IDEXX Laboratories
212,INFO,1598014,6/2/2017,0,Research & Consulting Services,Industrials,"London, United Kingdom",reports,IHS Markit Ltd.
213,ITW,49826,2/28/1986,0,Industrial Machinery,Industrials,"Glenview, Illinois",reports,Illinois Tool Works
214,ILMN,1110803,11/19/2015,0,Life Sciences Tools & Services,Health Care,"San Diego, California",reports,Illumina Inc
215,IR,1466258,11/17/2010,0,Industrial Machinery,Industrials,"Dublin, Ireland",reports,Ingersoll-Rand PLC
216,INTC,50863,12/31/1976,0,Semiconductors,Information Technology,"Santa Clara, California",reports,Intel Corp.
217,ICE,1571949,9/26/2007,0,Financial Exchanges & Data,Financials,"Atlanta, Georgia",reports,Intercontinental Exchange
218,IBM,51143,0,1911,IT Consulting & Other Services,Information Technology,"Armonk, New York",reports,International Business Machines
219,INCY,879169,2/28/2017,0,Biotechnology,Health Care,"Wilmington, Delaware",reports,Incyte
220,IP,51434,0,1898,Paper Packaging,Materials,"Memphis, Tennessee",reports,International Paper
221,IPG,51644,10/1/1992,0,Advertising,Communication Services,"New York, New York",reports,Interpublic Group
222,IFF,51253,3/31/1976,0,Specialty Chemicals,Materials,"New York, New York",reports,Intl Flavors & Fragrances
223,INTU,896878,12/5/2000,0,Application Software,Information Technology,"Mountain View, California",reports,Intuit Inc.
224,ISRG,1035267,6/2/2008,0,Health Care Equipment,Health Care,"Sunnyvale, California",reports,Intuitive Surgical Inc.
225,IVZ,914208,8/21/2008,0,Asset Management & Custody Banks,Financials,"Atlanta, Georgia",reports,Invesco Ltd.
226,IRM,1020569,1/6/2009,0,Specialized REITs,Real Estate,"Boston, Massachusetts",reports,Iron Mountain Incorporated
227,JBHT,728535,7/1/2015,0,Trucking,Industrials,"Lowell, Arkansas",reports,J. B. Hunt Transport Services
228,SJM,91419,11/6/2008,0,Packaged Foods & Meats,Consumer Staples,"Orrville, Ohio",reports,JM Smucker
229,JNJ,200406,6/30/1973,1886,Pharmaceuticals,Health Care,"New Brunswick, New Jersey",reports,Johnson & Johnson
230,JCI,833444,8/27/2010,0,Building Products,Industrials,"Cork, Ireland",reports,Johnson Controls International
231,JPM,19617,6/30/1975,0,Diversified Banks,Financials,"New York, New York",reports,JPMorgan Chase & Co.
232,JNPR,1043604,0,1996,Communications Equipment,Information Technology,"Sunnyvale, California",reports,Juniper Networks
233,KSU,54480,5/24/2013,0,Railroads,Industrials,"Kansas City, Missouri",reports,Kansas City Southern
234,K,55067,0,1906,Packaged Foods & Meats,Consumer Staples,"Battle Creek, Michigan",reports,Kellogg Co.
235,KEY,91576,3/1/1994,0,Regional Banks,Financials,"Cleveland, Ohio",reports,KeyCorp
236,KMB,55785,0,1872,Household Products,Consumer Staples,"Irving, Texas",reports,Kimberly-Clark
237,KIM,879101,4/4/2006,0,Retail REITs,Real Estate,"New Hyde Park, New York",reports,Kimco Realty
238,KMI,1506307,5/25/2012,0,Oil & Gas Storage & Transportation,Energy,"Houston, Texas",reports,Kinder Morgan
239,KLAC,319201,0,1975/1977 (1997),Semiconductor Equipment,Information Technology,"Milpitas, California",reports,KLA Corporation
240,KSS,885639,0,1962,General Merchandise Stores,Consumer Discretionary,"Menomonee Falls, Wisconsin",reports,Kohl's Corp.
